Column,Mean,Median,Std Dev,Min,Max,Skewness,Kurtosis,Outlier %,Missing %,Unique Count,Unique %
QTD_H350,0.0002607779876631952,0.0,0.10826637242692987,0.0,59.0,541.1606595134092,294851.2839084645,0.005683622808043998,0.0,4,0.0013373230136574112
QT_M169,0.03525852125507765,0.0,2.791814099649951,0.0,1520.0,539.5999493796394,293741.4133795679,2.073519332675816,0.0,11,0.003677638287557881
QT_M168,0.036318349743401146,0.0,2.7921172473845437,0.0,1520.0,539.4232572009926,293613.04484821623,2.155764698015747,0.0,11,0.003677638287557881
QTD_H287,0.00018053860684375051,0.0,0.06991351344682979,0.0,38.0,537.0487806760863,291784.7788520813,0.005349292054629645,0.0,4,0.0013373230136574112
QT_M171,0.10503334949265308,0.0,2.8084452109586593,0.0,1520.0,530.0052806258414,286792.30527101853,7.880844519483126,0.0,13,0.0043462997943865865
QTD_H29,0.00012370237876331054,0.0,0.04084483731025901,0.0,22.0,523.165214932791,281406.85286128457,0.005349292054629645,0.0,3,0.0010029922602430585
QT_M90,0.00044800320957523275,0.0,0.11872333798274567,0.0,59.0,432.1948615792618,206934.860557777,0.008692599588773173,0.0,8,0.0026746460273148224
QT_M78,6.686615068287057e-06,0.0,0.0025858446807188124,0.0,1.0,386.71630429384106,149547.50000668675,0.0006686615068287056,0.0,2,0.0006686615068287056
QTD_H330,6.686615068287057e-06,0.0,0.002585844680718813,0.0,1.0,386.716304293841,149547.50000668672,0.0006686615068287056,0.0,2,0.0006686615068287056
QT_M95,1.3373230136574113e-05,0.0,0.0044788093760992735,0.0,2.0,372.11768848264796,149547.72223212867,0.0010029922602430585,0.0,3,0.0010029922602430585
QT_M84,1.3373230136574113e-05,0.0,0.004478809376099275,0.0,2.0,372.11768848264745,149547.72223212838,0.0010029922602430585,0.0,3,0.0010029922602430585
QTD_H312,4.0445030148399554e-05,0.0,0.016826007531585526,-1.0,8.0,365.0766018419821,173069.9064740232,0.007077880275969923,0.8043997927149329,4,0.0013481676716133185
QTD_J20,0.0006866788465460054,0.0,0.09626863780397008,0.0,40.0,315.9192044924594,125226.51523126198,0.01456591492673345,19.664666254325404,11,0.004577858976973369
QT_M170,0.5615319035121445,0.0,3.4528142299062874,0.0,1520.0,290.143897614414,125582.06051994284,20.3657578442353,0.0,80,0.026746460273148226
QTD_H367,0.004322896641647582,0.0,0.30704986039875826,0.0,132.0,285.36971875299827,115567.31394617313,0.08659166513431739,0.0,20,0.0066866150682870565
QTD_H335,1.3373230136574113e-05,0.0,0.003656924391296935,0.0,1.0,273.44697843160236,74771.25001337333,0.0013373230136574112,0.0,2,0.0006686615068287056
AMT_M107,0.27303789639089954,0.0,41.03766169284425,0.0,15132.0,244.34971946235183,73804.6521469095,0.017050868424131994,0.0,20,0.0066866150682870565
AMT_M100,0.6479330001170157,0.0,75.73983603935395,0.0,27385.0,232.52918808023315,68867.98809163667,0.05583323582019692,0.0,28,0.00936126109560188
QT_M85,0.00011701576369502348,0.0,0.016455853758709924,0.0,6.0,224.3092245019359,67149.01338823789,0.007689607328530115,0.0,5,0.0016716537670717641
QT_M80,0.0009762457999699102,0.0,0.17324942232592203,0.0,50.0,216.30303812487963,51601.91093886735,0.006017953561458351,0.0,15,0.005014961301215292
QTD_H370,0.00046806305478009393,0.0,0.07808965518379916,0.0,21.0,214.33266258977608,51180.89187775304,0.006352284314872703,0.0,12,0.004011969040972234
QTD_H363,0.060864913659082934,0.0,1.5118387285338528,0.0,564.0,196.49612370014768,66428.13756003544,0.9795891075040537,0.0,56,0.01872252219120376
QTD_H322,-3.0333772611299667e-05,0.0,0.0055075361740356404,-1.0,0.0,-181.55868358712632,32961.555585890266,0.003033377261129967,0.8043997927149329,2,0.0006740838358066593
QTD_H297,3.343307534143528e-05,0.0,0.005782047158627973,0.0,1.0,172.93785020473163,29905.500033434208,0.0033433075341435282,0.0,2,0.0006686615068287056
QTD_C8,1.0158745362107835,0.0,6.885184271395656,0.0,1741.0,156.26247703838118,31953.572841922098,11.170275220740184,43.0514367864128,62,0.03639864737929739
